key_resp_start.keys,key_resp_start.rt,key_resp_stop.keys,key_resp_stop.rt,feedback_range,hit,stimulus_range,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus_duration,onset,feedback,feedback_range_fromfile,participant,session,date,expName,psychopyVersion,OS,frameRate
space,9.219,space,0.694,0.3,FALSE,Training,0,0,0,0,1,1,0.2,True,0.3,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,1.248,space,0.472,0.3,FALSE,Training,0,1,1,1,1,0.75,0.2,True,0.3,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,0.789,space,0.398,0.3,TRUE,Training,0,2,2,2,1,0.5,0.2,True,0.3,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,0.735,space,0.355,0.3,TRUE,Training,0,3,3,3,1,0.5,0.3,True,0.3,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,0.695,space,0.516,0.3,FALSE,Training,0,4,4,4,1,0.75,0.3,True,0.3,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,0.807,space,0.777,0.3,TRUE,Training,0,5,5,5,1,1,0.3,True,0.3,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,1.326,space,0.99,,,ms_large,0,6,6,6,1,1.165,0.2,False,None,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,0.835,space,0.624,,,ms_large,0,7,7,7,1,1.094,0.3,False,None,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,1.084,space,0.87,,,ms_large,0,8,8,8,1,1.2,0.3,False,None,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,0.815,space,0.954,,,ms_large,0,9,9,9,1,1.024,0.1,False,None,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,0.941,space,0.737,,,ms_large,0,10,10,10,1,0.953,0.3,False,None,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,0.844,space,0.726,,,ms_large,0,11,11,11,1,0.847,0.1,False,None,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,0.886,space,0.968,,,ms_large,0,12,12,12,1,0.882,0.3,False,None,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,0.634,space,0.912,,,ms_large,0,13,13,13,1,1.129,0.1,False,None,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,0.852,space,0.948,,,ms_large,0,14,14,14,1,1.059,0.3,False,None,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,0.883,space,0.84,,,ms_large,0,15,15,15,1,0.918,0.3,False,None,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,0.919,space,0.857,,,ms_large,0,16,16,16,1,0.988,0.1,False,None,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,0.559,space,0.704,,,ms_large,0,17,17,17,1,0.953,0.2,False,None,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,1.421,space,0.9,,,ms_large,0,18,18,18,1,1.129,0.3,False,None,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,2.09,space,0.821,,,ms_large,0,19,19,19,1,0.988,0.2,False,None,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
space,1.398,space,0.836,,,ms_large,0,20,20,20,1,1.024,0.1,False,None,D04,r2,2021-04-29_14h06.49.569,subsecond_timing_v2,2021.1.2,MacIntel,55.55555556
