key_resp_start.keys,key_resp_start.rt,key_resp_stop.keys,key_resp_stop.rt,feedback_range,hit,stimulus_range,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus_duration,onset,feedback,feedback_range_fromfile,participant,session,date,expName,psychopyVersion,OS,frameRate
space,0.03892,space,0.267285,0.3,FALSE,Training,0,0,0,0,1,2,0.1,True,0.3,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,5.79787,space,0.30096,0.3,FALSE,Training,0,1,1,1,1,5,0.2,True,0.3,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.95179,space,0.769965,0.3,FALSE,Training,0,2,2,2,1,4,0.1,True,0.3,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.35652,space,1.22013,,,large,0,3,3,3,1,4.5,0.3,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,2.65689,space,0.775665,,,large,0,4,4,4,1,3.5,0.3,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,2.1461,space,2.681395,,,large,0,5,5,5,1,5.5,0.3,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.522625,space,1.991445,,,large,0,6,6,6,1,3,0.1,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,2.361145,space,1.774455,,,large,0,7,7,7,1,2.5,0.1,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,2.883145,space,0.969955,,,large,0,8,8,8,1,5,0.3,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,3.7856,space,0.73813,,,large,0,9,9,9,1,6,0.3,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.800495,space,2.21748,,,large,0,10,10,10,1,2,0.2,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.953995,space,2.091355,,,large,0,11,11,11,1,4,0.1,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.717085,space,0.77081,,,large,0,12,12,12,1,2.5,0.3,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,2.33778,space,1.370225,,,large,0,13,13,13,1,4,0.1,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,4.497585,space,2.33141,,,large,0,14,14,14,1,3.5,0.3,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.148665,space,2.899525,,,large,0,15,15,15,1,5.5,0.1,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,2.01116,space,2.784235,,,large,0,16,16,16,1,6,0.1,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.66701,space,1.448355,,,large,0,17,17,17,1,3,0.2,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.93421,space,1.356075,,,large,0,18,18,18,1,2,0.2,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.076845,space,3.09095,,,large,0,19,19,19,1,5,0.2,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.30116,space,4.81512,,,large,0,20,20,20,1,4.5,0.3,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.195685,space,2.206585,,,large,0,21,21,21,1,3.5,0.2,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.241675,space,5.52941,,,large,0,22,22,22,1,3,0.2,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,0.270125,space,0.951645,,,large,0,23,23,23,1,5.5,0.1,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,3.75519,space,1.611955,,,large,0,24,24,24,1,2,0.1,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.231425,space,5.42938,,,large,0,25,25,25,1,6,0.3,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,11.846835,space,1.014705,,,large,0,26,26,26,1,2.5,0.1,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.15077,space,1.76643,,,large,0,27,27,27,1,4,0.2,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,0.908885,space,1.0392,,,large,0,28,28,28,1,4.5,0.3,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.487385,space,3.193705,,,large,0,29,29,29,1,5,0.1,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.125315,space,1.14866,,,large,0,30,30,30,1,2.5,0.3,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,0.848915,space,1.56592,,,large,0,31,31,31,1,6,0.1,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,4.247335,space,2.465845,,,large,0,32,32,32,1,5,0.3,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.760485,space,1.330885,,,large,0,33,33,33,1,3.5,0.1,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,0.88221,space,0.930115,,,large,0,34,34,34,1,3,0.1,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,0.902875,space,2.86762,,,large,0,35,35,35,1,5.5,0.2,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.184885,space,1.50403,,,large,0,36,36,36,1,2,0.2,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,1.63403,space,2.20063,,,large,0,37,37,37,1,4,0.2,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,4.49894,space,1.915625,,,large,0,38,38,38,1,4.5,0.2,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
space,0.94849,space,1.756315,,,large,0,39,39,39,1,4,0.3,False,None,T12,r3,2021-04-25_12h55.07.815,subsecond_timing_v2,2021.1.2,Win32,60.08893162
