key_resp_start.keys,key_resp_start.rt,key_resp_stop.keys,key_resp_stop.rt,feedback_range,hit,stimulus_range,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus_duration,onset,feedback,feedback_range_fromfile,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.772165,space,0.763345,0.3,TRUE,Training,0,0,0,0,1,1,0.2,True,0.3,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.868435,space,0.557405,0.3,TRUE,Training,0,1,1,1,1,0.75,0.2,True,0.3,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,1.221805,space,0.53579,0.3,TRUE,Training,0,2,2,2,1,0.5,0.2,True,0.3,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,1.2196,space,0.46669,0.3,TRUE,Training,0,3,3,3,1,0.5,0.3,True,0.3,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.968145,space,0.669415,0.3,TRUE,Training,0,4,4,4,1,0.75,0.3,True,0.3,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.9361,space,0.942485,0.3,TRUE,Training,0,5,5,5,1,1,0.3,True,0.3,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.93553,space,0.789345,,,ms_large,0,6,6,6,1,1.165,0.2,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.87455,space,0.70017,,,ms_large,0,7,7,7,1,1.094,0.3,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.97155,space,0.73885,,,ms_large,0,8,8,8,1,1.2,0.3,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,1.00211,space,0.73283,,,ms_large,0,9,9,9,1,1.024,0.1,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.851725,space,0.703385,,,ms_large,0,10,10,10,1,0.953,0.3,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.96726,space,0.65356,,,ms_large,0,11,11,11,1,0.847,0.1,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.869075,space,0.668755,,,ms_large,0,12,12,12,1,0.882,0.3,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,1.03461,space,0.91838,,,ms_large,0,13,13,13,1,1.129,0.1,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,1.0367,space,0.93989,,,ms_large,0,14,14,14,1,1.059,0.3,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.987045,space,0.707685,,,ms_large,0,15,15,15,1,0.918,0.3,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.93789,space,0.78553,,,ms_large,0,16,16,16,1,0.988,0.1,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.868875,space,0.75484,,,ms_large,0,17,17,17,1,0.953,0.2,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.91754,space,0.90144,,,ms_large,0,18,18,18,1,1.129,0.3,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.937425,space,0.844225,,,ms_large,0,19,19,19,1,0.988,0.2,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.885425,space,0.803015,,,ms_large,0,20,20,20,1,1.024,0.1,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.97007,space,0.807645,,,ms_large,0,21,21,21,1,1.165,0.1,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.993135,space,0.952625,,,ms_large,0,22,22,22,1,1.2,0.1,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
space,0.900935,space,0.71811,,,ms_large,0,23,23,23,1,0.882,0.2,False,None,Z03,r2,2021-04-26_21h18.06.628,subsecond_timing_v2,2021.1.2,Win32,59.97720866
