stimulus_range,stimulus_duration,onset,feedback,feedback_range_fromfile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation_cross.started,fixation_cross.stopped,interval_start.started,interval_start.stopped,interval_end.started,interval_end.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.started,key_resp_start.stopped,fixation_cross_reproduction.started,fixation_cross_reproduction.stopped,reproduction_start.started,reproduction_start.stopped,key_resp_stop.keys,key_resp_stop.rt,key_resp_stop.started,key_resp_stop.stopped,feedback_range,hit,stimulus_range,reproduction_end.started,reproduction_end.stopped,fixation_cross_feedback.started,fixation_cross_feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Training,1,0.3,True,0.3,0,0,0,0,24.055496799992397,None,24.3378750999982,24.387909699988086,25.33732069999678,25.387752399983583,space,1.0445793000108097,25.33732069999678,None,26.411461199983023,None,26.411461199983023,26.470118700002786,space,0.7986913999775425,26.411461199983023,None,0.3,True,Training,27.2408014999819,27.304025899997214,27.2408014999819,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
Training,0.75,0.1,True,0.3,0,1,1,1,27.754077799996594,None,27.837347599997884,27.887338999978965,28.5872362999944,28.63848510000389,space,0.9440976000041701,28.5872362999944,None,29.556809300003806,None,29.556809300003806,29.620398600003682,space,0.5297122999909334,29.556809300003806,None,0.3,True,Training,30.105895499989856,30.170244299981277,30.105895499989856,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
Training,0.5,0.1,True,0.3,0,2,2,2,30.62018139997963,None,30.703551799990237,30.753553899994586,31.20354590000352,31.254084799991688,space,0.6231236000021454,31.20354590000352,None,31.856426899990765,None,31.856426899990765,31.919798499991884,space,0.4482690000149887,31.856426899990765,None,0.3,True,Training,32.322773699997924,32.38645229997928,32.322773699997924,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
Training,0.5,0.2,True,0.3,0,3,3,3,32.83649099999457,None,33.01981509997859,33.06986629997846,33.51962389997789,33.57030229998054,space,0.6354437999834772,33.51962389997789,None,34.18939250000403,None,34.18939250000403,34.25302770000417,space,0.4358776999870315,34.18939250000403,None,0.3,True,Training,34.655425599979935,34.71947139999247,34.655425599979935,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
Training,0.75,0.2,True,0.3,0,4,4,4,35.16933549998794,None,35.35275069999625,35.40263359999517,36.10249199997634,36.15264329998172,space,0.6626465000153985,36.10249199997634,None,36.7888461999828,None,36.7888461999828,36.85170729999663,space,0.5943101999873761,36.7888461999828,None,0.3,True,Training,37.41774219999206,37.46895399998175,37.41774219999206,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
Training,1,0.3,True,0.3,0,5,5,5,37.918150899989996,None,38.20214169999235,38.25222439999925,39.20203929999843,39.252453099994455,space,0.8153496999875642,39.20203929999843,None,40.03881639998872,None,40.03881639998872,40.1010214999842,space,0.712758700014092,40.03881639998872,None,0.3,True,Training,40.771385300002294,40.834840800001984,40.771385300002294,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.706,0.2,False,None,0,6,6,6,41.28441110000131,None,41.46818870000425,41.51827189998585,42.168124099989654,42.21870040000067,space,0.7200480999890715,42.168124099989654,None,42.92124799999874,None,42.92124799999874,42.969561499980045,space,0.5451568999851588,42.92124799999874,None,None,None,ms_small,43.487252199993236,43.551039599988144,43.487252199993236,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.812,0.3,False,None,0,7,7,7,44.00111409998499,None,44.28447349998169,44.33444039997994,45.084262799995486,45.134943199984264,space,0.7680648000095971,45.084262799995486,None,45.88592819997575,None,45.88592819997575,45.9506701999926,space,0.6998433000117075,45.88592819997575,None,None,None,ms_small,46.61999159998959,46.68395679999958,46.61999159998959,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.847,0.1,False,None,0,8,8,8,47.13359679997666,None,47.21702099998947,47.26710729999468,48.0504179999989,48.10113269998692,space,0.8461799999931827,48.0504179999989,None,48.9201466999948,None,48.9201466999948,48.983645899978,space,0.7048586000164505,48.9201466999948,None,None,None,ms_small,49.652793499990366,49.716667400003644,49.652793499990366,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
ms_small,0.67,0.3,False,None,0,9,9,9,50.1666644999932,None,50.449585299997125,50.49940919998335,51.11655279999832,51.167357899976196,space,0.8871868999849539,51.11655279999832,None,52.03600789999473,None,52.03600789999473,52.10014689998934,space,0.6864488999999594,52.03600789999473,None,None,None,ms_small,52.751682200003415,52.81570469998405,52.751682200003415,None,D01,1,2021_Apr_22_2030,subsecond_timing,2021.1.2,60.0839854012801,
