key_resp_start.keys,key_resp_start.rt,key_resp_stop.keys,key_resp_stop.rt,feedback_range,hit,stimulus_range,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus_duration,onset,feedback,feedback_range_fromfile,participant,session,date,expName,psychopyVersion,OS,frameRate
space,3.418,space,1.054,0.3,FALSE,Training,0,0,0,0,1,2,0.1,True,0.3,D06,r3,2021-05-02_14h13.09.465,subsecond_timing_v2,2021.1.2,Win32,59.95203837
space,6.884,space,5.419,0.3,TRUE,Training,0,1,1,1,1,5,0.2,True,0.3,D06,r3,2021-05-02_14h13.09.465,subsecond_timing_v2,2021.1.2,Win32,59.95203837
space,1.606,space,5.469,0.3,FALSE,Training,0,2,2,2,1,4,0.1,True,0.3,D06,r3,2021-05-02_14h13.09.465,subsecond_timing_v2,2021.1.2,Win32,59.95203837
space,2.418,space,4.85,,,large,0,3,3,3,1,4.5,0.3,False,None,D06,r3,2021-05-02_14h13.09.465,subsecond_timing_v2,2021.1.2,Win32,59.95203837
space,2.504,space,4.17,,,large,0,4,4,4,1,3.5,0.3,False,None,D06,r3,2021-05-02_14h13.09.465,subsecond_timing_v2,2021.1.2,Win32,59.95203837
space,2.341,space,6.552,,,large,0,5,5,5,1,5.5,0.3,False,None,D06,r3,2021-05-02_14h13.09.465,subsecond_timing_v2,2021.1.2,Win32,59.95203837
space,1.369,space,3.602,,,large,0,6,6,6,1,3,0.1,False,None,D06,r3,2021-05-02_14h13.09.465,subsecond_timing_v2,2021.1.2,Win32,59.95203837
space,1.235,space,4.702,,,large,0,7,7,7,1,2.5,0.1,False,None,D06,r3,2021-05-02_14h13.09.465,subsecond_timing_v2,2021.1.2,Win32,59.95203837
space,1.335,space,5.218,,,large,0,8,8,8,1,5,0.3,False,None,D06,r3,2021-05-02_14h13.09.465,subsecond_timing_v2,2021.1.2,Win32,59.95203837
space,1.303,space,5.718,,,large,0,9,9,9,1,6,0.3,False,None,D06,r3,2021-05-02_14h13.09.465,subsecond_timing_v2,2021.1.2,Win32,59.95203837
