key_resp_start.keys,key_resp_start.rt,key_resp_stop.keys,key_resp_stop.rt,feedback_range,hit,stimulus_range,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus_duration,onset,feedback,feedback_range_fromfile,participant,session,date,expName,psychopyVersion,OS,frameRate
space,0.812675,space,0.94573,0.3,TRUE,Training,0,0,0,0,1,1,0.2,True,0.3,T06,r2,2021-04-25_15h04.31.806,subsecond_timing_v2,2021.1.2,Win32,59.97361161
space,1.10316,space,0.82391,0.3,TRUE,Training,0,1,1,1,1,0.75,0.2,True,0.3,T06,r2,2021-04-25_15h04.31.806,subsecond_timing_v2,2021.1.2,Win32,59.97361161
space,0.841565,space,0.43369,0.3,TRUE,Training,0,2,2,2,1,0.5,0.2,True,0.3,T06,r2,2021-04-25_15h04.31.806,subsecond_timing_v2,2021.1.2,Win32,59.97361161
space,0.69952,space,0.40298,0.3,TRUE,Training,0,3,3,3,1,0.5,0.3,True,0.3,T06,r2,2021-04-25_15h04.31.806,subsecond_timing_v2,2021.1.2,Win32,59.97361161
space,0.59427,space,0.33101,0.3,FALSE,Training,0,4,4,4,1,0.75,0.3,True,0.3,T06,r2,2021-04-25_15h04.31.806,subsecond_timing_v2,2021.1.2,Win32,59.97361161
space,0.703095,space,0.692495,0.3,FALSE,Training,0,5,5,5,1,1,0.3,True,0.3,T06,r2,2021-04-25_15h04.31.806,subsecond_timing_v2,2021.1.2,Win32,59.97361161
space,0.535705,space,0.388735,,,ms_large,0,6,6,6,1,1.165,0.2,False,None,T06,r2,2021-04-25_15h04.31.806,subsecond_timing_v2,2021.1.2,Win32,59.97361161
space,0.7859,space,0.42807,,,ms_large,0,8,8,8,1,1.2,0.3,False,None,T06,r2,2021-04-25_15h04.31.806,subsecond_timing_v2,2021.1.2,Win32,59.97361161
space,0.658515,space,0.73375,,,ms_large,0,9,9,9,1,1.024,0.1,False,None,T06,r2,2021-04-25_15h04.31.806,subsecond_timing_v2,2021.1.2,Win32,59.97361161
space,0.71069,space,0.949405,,,ms_large,0,10,10,10,1,0.953,0.3,False,None,T06,r2,2021-04-25_15h04.31.806,subsecond_timing_v2,2021.1.2,Win32,59.97361161
space,0.744175,space,1.02714,,,ms_large,0,11,11,11,1,0.847,0.1,False,None,T06,r2,2021-04-25_15h04.31.806,subsecond_timing_v2,2021.1.2,Win32,59.97361161
space,0.7493,space,1.00317,,,ms_large,0,12,12,12,1,0.882,0.3,False,None,T06,r2,2021-04-25_15h04.31.806,subsecond_timing_v2,2021.1.2,Win32,59.97361161
space,0.91931,space,0.938715,,,ms_large,0,13,13,13,1,1.129,0.1,False,None,T06,r2,2021-04-25_15h04.31.806,subsecond_timing_v2,2021.1.2,Win32,59.97361161
