key_resp_start.keys,key_resp_start.rt,key_resp_stop.keys,key_resp_stop.rt,feedback_range,hit,stimulus_range,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus_duration,onset,feedback,feedback_range_fromfile,participant,session,date,expName,psychopyVersion,OS,frameRate,fbclid
space,0.735,space,1.883,0.3,TRUE,Training,0,0,0,0,1,2,0.1,True,0.3,T11,r3,2021-04-27_13h50.59.849,subsecond_timing_v2,2021.1.2,MacIntel,58.82352941,IwAR067z7WYGYwW_JyNOc5GZrmf-_f7ElzRcTTKnU5XsUw6ja0R3b6eJXt5Tg
space,0.97,space,4.236,0.3,TRUE,Training,0,1,1,1,1,5,0.2,True,0.3,T11,r3,2021-04-27_13h50.59.849,subsecond_timing_v2,2021.1.2,MacIntel,58.82352941,IwAR067z7WYGYwW_JyNOc5GZrmf-_f7ElzRcTTKnU5XsUw6ja0R3b6eJXt5Tg
space,0.554,space,2.809,0.3,TRUE,Training,0,2,2,2,1,4,0.1,True,0.3,T11,r3,2021-04-27_13h50.59.849,subsecond_timing_v2,2021.1.2,MacIntel,58.82352941,IwAR067z7WYGYwW_JyNOc5GZrmf-_f7ElzRcTTKnU5XsUw6ja0R3b6eJXt5Tg
space,0.484,space,4.342,,,large,0,3,3,3,1,4.5,0.3,False,None,T11,r3,2021-04-27_13h50.59.849,subsecond_timing_v2,2021.1.2,MacIntel,58.82352941,IwAR067z7WYGYwW_JyNOc5GZrmf-_f7ElzRcTTKnU5XsUw6ja0R3b6eJXt5Tg
space,0.718,space,3.901,,,large,0,4,4,4,1,3.5,0.3,False,None,T11,r3,2021-04-27_13h50.59.849,subsecond_timing_v2,2021.1.2,MacIntel,58.82352941,IwAR067z7WYGYwW_JyNOc5GZrmf-_f7ElzRcTTKnU5XsUw6ja0R3b6eJXt5Tg
space,0.851,space,4.684,,,large,0,5,5,5,1,5.5,0.3,False,None,T11,r3,2021-04-27_13h50.59.849,subsecond_timing_v2,2021.1.2,MacIntel,58.82352941,IwAR067z7WYGYwW_JyNOc5GZrmf-_f7ElzRcTTKnU5XsUw6ja0R3b6eJXt5Tg
space,0.784,space,1.818,,,large,0,6,6,6,1,3,0.1,False,None,T11,r3,2021-04-27_13h50.59.849,subsecond_timing_v2,2021.1.2,MacIntel,58.82352941,IwAR067z7WYGYwW_JyNOc5GZrmf-_f7ElzRcTTKnU5XsUw6ja0R3b6eJXt5Tg
space,0.868,space,1.553,,,large,0,7,7,7,1,2.5,0.1,False,None,T11,r3,2021-04-27_13h50.59.849,subsecond_timing_v2,2021.1.2,MacIntel,58.82352941,IwAR067z7WYGYwW_JyNOc5GZrmf-_f7ElzRcTTKnU5XsUw6ja0R3b6eJXt5Tg
space,0.752,space,3.955,,,large,0,8,8,8,1,5,0.3,False,None,T11,r3,2021-04-27_13h50.59.849,subsecond_timing_v2,2021.1.2,MacIntel,58.82352941,IwAR067z7WYGYwW_JyNOc5GZrmf-_f7ElzRcTTKnU5XsUw6ja0R3b6eJXt5Tg
space,0.488,space,4.936,,,large,0,9,9,9,1,6,0.3,False,None,T11,r3,2021-04-27_13h50.59.849,subsecond_timing_v2,2021.1.2,MacIntel,58.82352941,IwAR067z7WYGYwW_JyNOc5GZrmf-_f7ElzRcTTKnU5XsUw6ja0R3b6eJXt5Tg
